ticket_id,event_timestamp,customer_id,category,status,priority,resolution_hours,description
T000327,2025-10-27T10:14:29,C00142,velocidad_baja,escalado,media,9.5,  Velocidad inferior a la contratada.  
T000361,2025-10-10T08:00:09,C00159,portabilidad,abierto,baja,,Solicita portabilidad.
T000167,2025-10-16T20:18:17,C00137,portabilidad,resuelto,critica,75.1,  Solicita portabilidad.  
T000367,2025-10-05T00:07:30,C00198,Velocidad_baja,abierto,media,,Velocidad inferior a la contratada.
T000023,2025-10-12T06:36:46,C00393,Portabilidad,en_proceso,media,,Solicita portabilidad.
T000221,2025-10-16T06:37:25,C00336,consulta_tarifa,escalado,media,87.4,Consulta sobre tarifas.
T000192,2025-10-17T11:20:39,C00080,Instalacion,escalado,baja,95.3,  Instalación pendiente.  
T000187,2025-10-04T10:24:19,C00037,portabilidad,resuelto,media,-65.2,Solicita portabilidad.
T000328,2025-10-12T12:20:02,C00046,Portabilidad,resuelto,baja,33.1,Solicita portabilidad.
T000341,2025-10-22T20:14:16,C00489,Consulta Tarifa,abierto,media,,Consulta sobre tarifas.
T000267,2025-10-22T08:51:57,C00210,facturacion,resuelto,media,34.7,Cargo no reconocido en factura.
T000185,2025-10-03T15:26:49,C00921,facturacion,cerrado,media,43.1,Cargo no reconocido en factura.
T000207,2025-10-17T17:28:44,C00480,portabilidad,escalado,baja,47.9,Solicita portabilidad.
T000287,2025-10-31T08:21:48,C00987,Facturacion,cerrado,critica,58.3,Cargo no reconocido en factura.
T000166,2025-10-14T06:12:06,C00266,portabilidad,abierto,baja,,Solicita portabilidad.
T000007,2025-10-15T08:44:49,C00030,Sin_servicio,abierto,media,,Sin conexión desde hace horas.
T000169,2025-10-22T18:09:19,C00067,facturacion,cerrado,media,9.5,  Cargo no reconocido en factura.  
T000242,2025-10-25T11:54:06,C00302,facturacion,resuelto,media,68.2,Cargo no reconocido en factura.
T000040,2025-10-19T20:37:22,C00251,intermitencias,escalado,alta,46.7,Cortes intermitentes frecuentes.
T000356,2025-10-23T11:24:53,C00249,portabilidad,escalado,alta,51.5,Solicita portabilidad.
T000045,2025-10-18T07:56:28,C00354,portabilidad,abierto,critica,,  Solicita portabilidad.  
T000115,2025-10-11T00:12:42,C00004,INTERMITENCIAS,escalado,baja,46.1,Cortes intermitentes frecuentes.
T000028,2025-10-27T07:42:55,C00337,intermitencias,abierto,baja,,  Cortes intermitentes frecuentes.  
T000140,2025-10-02T20:21:48,C00021,facturacion,en_proceso,baja,,Cargo no reconocido en factura.
T000254,2025-10-06T21:57:39,C00331,consulta_tarifa,escalado,baja,61.6,Consulta sobre tarifas.
T000060,2025-10-05T11:59:40,C00161,velocidad_baja,en_proceso,baja,,Velocidad inferior a la contratada.
T000384,2025-10-01T11:25:00,C00150,sin_servicio,escalado,baja,95.1,Sin conexión desde hace horas.
T000370,2025-10-14T21:30:38,C00007,intermitencias,escalado,media,57.9,Cortes intermitentes frecuentes.
T000123,2025-10-01T16:48:09,C00117,sin_servicio,escalado,baja,12.7,Sin conexión desde hace horas.
T000009,2025-10-11T03:54:38,C00010,Velocidad Baja,abierto,media,,Velocidad inferior a la contratada.
T000349,2025-10-11T15:04:22,C00064,sin_servicio,resuelto,baja,59.7,  Sin conexión desde hace horas.  
T000183,2025-10-28T09:59:34,C00236,sin_servicio,resuelto,critica,30.8,Sin conexión desde hace horas.
T000208,2025-10-06T14:37:22,C00043,instalacion,cerrado,alta,34.4,Instalación pendiente.
T000205,2025-10-17T06:55:28,C00163,Portabilidad,resuelto,baja,34.3,  Solicita portabilidad.  
T000288,2025-10-30T06:20:25,C00060,averia_router,resuelto,media,11.7,Router no enciende.
T000018,2025-10-26T19:53:20,C00427,portabilidad,en_proceso,media,,Solicita portabilidad.
T000291,2025-10-20T05:36:57,C00305,facturacion,cerrado,baja,72.4,Cargo no reconocido en factura.
T000339,2025-10-18T00:58:03,C00016,instalacion,escalado,alta,1.1,  Instalación pendiente.  
T000071,2025-10-19T09:27:38,C00236,instalacion,resuelto,media,54.3,Instalación pendiente.
T000231,2025-10-25T13:24:39,C00425,Portabilidad,cerrado,baja,38.5,Solicita portabilidad.
T000237,2025-10-27T11:55:06,C00217,averia_router,cerrado,baja,50.2,Router no enciende.
T000222,2025-10-02T03:16:07,C00442,consulta_tarifa,cerrado,baja,41.4,Consulta sobre tarifas.
T000134,2025-10-18T04:37:02,C00235,velocidad_baja,CERRADO,alta,84.7,Velocidad inferior a la contratada.
T000366,2025-10-02T22:32:51,C00016,intermitencias,escalado,baja,67.8,Cortes intermitentes frecuentes.
T000176,2025-10-31T15:01:47,C00194,portabilidad,en_proceso,media,,Solicita portabilidad.
T000219,2025-10-03T07:15:39,C00044,FACTURACION,resuelto,media,41.9,Cargo no reconocido en factura.
T000404,2025-10-19T11:26:23,C00455,portabilidad,resuelto,alta,77.6,  Solicita portabilidad.  
T000022,2025-10-07T05:14:17,C00494,Intermitencias,escalado,alta,1.3,Cortes intermitentes frecuentes.
T000406,2025-10-13T02:29:53,C00407,SIN_SERVICIO,en_proceso,alta,,Sin conexión desde hace horas.
T000135,2025-10-19T05:18:58,C00126,facturacion,cerrado,critica,70.6,Cargo no reconocido en factura.
T000271,2025-10-04T05:27:42,C00363,Facturacion,en_proceso,baja,,Cargo no reconocido en factura.
T000132,2025-10-26T21:06:41,C00499,intermitencias,abierto,baja,,Cortes intermitentes frecuentes.
T000114,2025-10-01T18:35:59,C00324,sin_servicio,resuelto,alta,94.6,Sin conexión desde hace horas.
T000054,2025-10-30T01:53:38,C00025,facturacion,resuelto,media,93.0,Cargo no reconocido en factura.
T000216,2025-10-08T22:37:18,C00441,INSTALACION,cerrado,baja,50.9,Instalación pendiente.
T000189,2025-10-16T23:16:56,C00154,sin_servicio,escalado,baja,9999,Sin conexión desde hace horas.
T000413,2025-10-20T16:42:19,C00275,facturacion,abierto,baja,,Cargo no reconocido en factura.
T000335,2025-10-13T17:03:30,C00290,sin_servicio,resuelto,alta,-42.1,Sin conexión desde hace horas.
T000322,2025-10-16T12:08:34,C00178,portabilidad,resuelto,media,21.6,  Solicita portabilidad.  
T000188,2025-10-03T00:33:21,C00011,consulta_tarifa,en_proceso,media,,  Consulta sobre tarifas.  
T000195,2025-10-06T17:23:19,C00475,velocidad_baja,escalado,baja,85.6,Velocidad inferior a la contratada.
T000069,2025-10-06T02:46:51,C00170,sin_servicio,escalado,media,87.7,Sin conexión desde hace horas.
T000038,2025-10-21T01:07:24,C00292,velocidad_baja,resuelto,alta,38.5,  Velocidad inferior a la contratada.  
T000072,2025-10-31T03:23:26,C00449,sin_servicio,resuelto,media,74.2,Sin conexión desde hace horas.
T000239,2025-10-29T18:55:00,C00194,facturacion,CERRADO,baja,27.0,Cargo no reconocido en factura.
T000235,2025-10-12T20:50:51,C00238,consulta_tarifa,resuelto,media,40.2,Consulta sobre tarifas.
T000158,2025-10-21T07:21:07,C00111,Consulta Tarifa,en_proceso,critica,,Consulta sobre tarifas.
T000114,2025-10-01T18:35:59,C00324,sin_servicio,resuelto,alta,94.6,Sin conexión desde hace horas.
T000193,2025-10-24T02:04:06,C00353,portabilidad,abierto,baja,,Solicita portabilidad.
T000097,2025-10-06T11:12:30,C00069,velocidad_baja,escalado,media,70.7,Velocidad inferior a la contratada.
T000330,2025-10-24T03:04:52,C00370,consulta_tarifa,escalado,media,32.9,Consulta sobre tarifas.
T000141,2025-10-03T01:04:37,C00341,sin_servicio,resuelto,baja,13.9,Sin conexión desde hace horas.
T000324,2025-10-15T12:43:42,C00380,instalacion,resuelto,baja,77.8,Instalación pendiente.
T000282,2025-10-22T00:22:33,C00164,consulta_tarifa,cerrado,baja,67.0,  Consulta sobre tarifas.  
T000292,2025-10-01T17:51:22,C00291,consulta_tarifa,RESUELTO,baja,34.8,Consulta sobre tarifas.
T000390,2025-10-28T22:31:37,C00381,facturacion,abierto,media,,  Cargo no reconocido en factura.  
T000364,2025-10-07T21:12:20,C00488,velocidad_baja,cerrado,critica,59.7,Velocidad inferior a la contratada.
T000252,2025-10-09T14:03:58,C00318,consulta_tarifa,cerrado,baja,66.7,Consulta sobre tarifas.
T000179,2025-10-03T16:10:37,C00472,sin_servicio,en_proceso,alta,,Sin conexión desde hace horas.
T000113,2025-10-18T13:48:59,C00112,facturacion,escalado,media,31.2,Cargo no reconocido en factura.
T000162,2025-10-07T13:26:46,C00236,instalacion,ABIERTO,media,,Instalación pendiente.
T000238,2025-10-28T11:03:54,C00920,Sin Servicio,cerrado,baja,53.4,Sin conexión desde hace horas.
T000087,2025-10-11T20:37:44,C00144,consulta_tarifa,en_proceso,baja,,Consulta sobre tarifas.
T000198,2025-10-19T17:39:14,C00054,instalacion,cerrado,media,-27.3,Instalación pendiente.
T000340,2025-10-26T15:47:18,C00918,Instalacion,resuelto,alta,8.9,Instalación pendiente.
T000067,2025-10-05T06:01:58,C00362,sin_servicio,abierto,media,,Sin conexión desde hace horas.
T000201,2025-10-13T17:52:31,C00361,portabilidad,en_proceso,critica,,Solicita portabilidad.
T000420,2025-10-01T17:31:23,C00019,Intermitencias,cerrado,alta,55.4,Cortes intermitentes frecuentes.
T000309,2025-10-21T01:40:48,C00371,consulta_tarifa,cerrado,media,21.3,  Consulta sobre tarifas.  
T000146,2025-10-25T03:49:53,C00400,intermitencias,abierto,media,,Cortes intermitentes frecuentes.
T000331,2025-10-04T19:50:42,C00133,sin_servicio,en_proceso,media,,Sin conexión desde hace horas.
T000089,2025-10-30T12:08:36,C00238,Facturacion,EN_PROCESO,alta,,  Cargo no reconocido en factura.  
T000142,2025-10-06T13:10:01,C00378,velocidad_baja,abierto,media,,Velocidad inferior a la contratada.
T000029,2025-10-15T23:34:44,C00002,Averia Router,resuelto,baja,78.3,
T000353,2025-10-01T09:46:26,C00191,FACTURACION,EN_PROCESO,media,,Cargo no reconocido en factura.
T000332,2025-10-27T09:09:26,C00323,Portabilidad,en_proceso,alta,,Solicita portabilidad.
T000165,2025-10-20T16:55:35,C00459,instalacion,cerrado,baja,9999,Instalación pendiente.
T000259,2025-10-10T02:06:01,C00480,velocidad_baja,escalado,baja,58.2,Velocidad inferior a la contratada.
T000212,2025-10-30T15:24:24,C00490,sin_servicio,abierto,media,,Sin conexión desde hace horas.
T000279,2025-10-18T23:12:29,C00207,Consulta Tarifa,escalado,baja,25.2,Consulta sobre tarifas.
T000020,2025-10-20T05:03:26,C00406,sin_servicio,cerrado,alta,84.9,Sin conexión desde hace horas.
T000065,2025-10-08T18:43:22,C00045,consulta_tarifa,abierto,baja,,Consulta sobre tarifas.
T000402,2025-10-28T23:19:31,C00348,instalacion,escalado,baja,86.9,  Instalación pendiente.  
