ticket_id,region,channel,text
TCK-0001,Coruna,web,"Llevo desde ayer sin internet en casa, la luz del router parpadea en rojo y no consigo conectarme a nada. Necesito que lo solucionen cuanto antes porque teletrabajo."
TCK-0002,Bilbao,web,"Hoy no me funciona absolutamente nada, ni internet ni telefono ni tele. Creo que es una averia general de la zona."
TCK-0003,Bilbao,app,La portabilidad que pedi hace una semana sigue sin completarse y me he quedado sin linea en medio del proceso.
TCK-0004,Valencia,redes_sociales,En la factura aparece un servicio de llamadas premium que yo nunca he contratado. Reclamo su devolucion.
TCK-0005,Coruna,telefono,Me gustaria conocer las tarifas de fibra y movil que teneis disponibles ahora mismo.
TCK-0006,Sevilla,tienda,La television de fibra se queda congelada y salen cuadraditos constantemente en los canales.
TCK-0007,Bilbao,telefono,Como puedo consultar mi consumo de datos del mes desde la aplicacion?
TCK-0008,Barcelona,app,"Tengo una duda sobre el contrato de permanencia, cuando termina el mio?"
TCK-0009,Valencia,telefono,Puedo anadir una segunda linea movil a mi cuenta y que descuento tendria?
TCK-0010,Sevilla,web,Como puedo consultar mi consumo de datos del mes desde la aplicacion?
TCK-0011,Coruna,tienda,Como puedo consultar mi consumo de datos del mes desde la aplicacion?
TCK-0012,Madrid,telefono,Me gustaria conocer las tarifas de fibra y movil que teneis disponibles ahora mismo.
TCK-0013,Bilbao,tienda,"Me gustaria portar tanto el fijo como el movil a vuestra compania, que documentacion necesito."
TCK-0014,Coruna,web,Necesito cambiar la fecha de la instalacion prevista para la semana que viene.
TCK-0015,Valencia,app,La portabilidad que pedi hace una semana sigue sin completarse y me he quedado sin linea en medio del proceso.
TCK-0016,Coruna,web,Querria cambiar el titular del contrato a nombre de mi pareja.
TCK-0017,Barcelona,telefono,Necesito cambiar la fecha de la instalacion prevista para la semana que viene.
TCK-0018,Bilbao,tienda,"El movil no tiene cobertura desde esta manana en toda la zona, no puedo ni llamar."
TCK-0019,Coruna,tienda,En la factura aparece un servicio de llamadas premium que yo nunca he contratado. Reclamo su devolucion.
TCK-0020,Valencia,web,Solicito la factura detallada de los ultimos tres meses para revisarla.
TCK-0021,Madrid,tienda,La portabilidad que pedi hace una semana sigue sin completarse y me he quedado sin linea en medio del proceso.
TCK-0022,Madrid,telefono,"Llevo tres dias sin servicio por culpa de una portabilidad mal gestionada en Bilbao, esto es inadmisible."
TCK-0023,Valencia,redes_sociales,No tengo linea en el telefono fijo desde el fin de semana. No da tono al descolgar.
TCK-0024,Coruna,redes_sociales,"Me habeis cobrado dos veces el mismo recibo este mes, necesito que devuelvan uno."
TCK-0025,Coruna,tienda,"La atencion telefonica de hoy ha sido excelente, me resolvieron todo a la primera. Gracias."
TCK-0026,Bilbao,app,En la factura aparece un servicio de llamadas premium que yo nunca he contratado. Reclamo su devolucion.
TCK-0027,Valencia,web,"Hola, escribo para actualizar mi direccion de correo de contacto en vuestra base de datos."
TCK-0028,Bilbao,web,No tengo linea en el telefono fijo desde el fin de semana. No da tono al descolgar.
TCK-0029,Madrid,tienda,"Hola, escribo para actualizar mi direccion de correo de contacto en vuestra base de datos."
TCK-0030,Sevilla,telefono,La portabilidad que pedi hace una semana sigue sin completarse y me he quedado sin linea en medio del proceso.
TCK-0031,Sevilla,telefono,La television de fibra se queda congelada y salen cuadraditos constantemente en los canales.
TCK-0032,Valencia,tienda,Solicito la factura detallada de los ultimos tres meses para revisarla.
TCK-0033,Sevilla,app,"Me habeis cobrado dos veces el mismo recibo este mes, necesito que devuelvan uno."
TCK-0034,Bilbao,redes_sociales,"El movil no tiene cobertura desde esta manana en toda la zona, no puedo ni llamar."
TCK-0035,Madrid,redes_sociales,El tecnico no se ha presentado a la cita de instalacion y me he cogido el dia libre para nada.
TCK-0036,Sevilla,telefono,En la factura aparece un servicio de llamadas premium que yo nunca he contratado. Reclamo su devolucion.
TCK-0037,Bilbao,tienda,Quiero traer mi numero de movil desde otra compania a vuestra tarifa. Como hago la portabilidad?
TCK-0038,Sevilla,telefono,"Hola, escribo para actualizar mi direccion de correo de contacto en vuestra base de datos."
TCK-0039,Coruna,web,Me han cobrado 78 euros este mes cuando mi tarifa es de 45. No entiendo este cargo extra y quiero una explicacion.
TCK-0040,Coruna,app,He contratado fibra nueva y quiero saber cuando vendra el tecnico a instalarla.
TCK-0041,Bilbao,tienda,"Llevo tres dias sin servicio por culpa de una portabilidad mal gestionada en Bilbao, esto es inadmisible."
TCK-0042,Sevilla,redes_sociales,La television de fibra se queda congelada y salen cuadraditos constantemente en los canales.
TCK-0043,Valencia,tienda,"Quiero darme de baja de todos los servicios, me cambio a otra compania el mes que viene."
TCK-0044,Sevilla,telefono,Querria saber por que ha subido mi cuota mensual sin avisarme.
TCK-0045,Madrid,web,"Me habeis cobrado dos veces el mismo recibo este mes, necesito que devuelvan uno."
TCK-0046,Barcelona,telefono,"Solo queria agradecer al tecnico que vino ayer, fue rapidisimo y muy amable. Un diez."
TCK-0047,Bilbao,tienda,En la factura aparece un servicio de llamadas premium que yo nunca he contratado. Reclamo su devolucion.
TCK-0048,Sevilla,redes_sociales,"El movil no tiene cobertura desde esta manana en toda la zona, no puedo ni llamar."
TCK-0049,Bilbao,tienda,Como puedo consultar mi consumo de datos del mes desde la aplicacion?
TCK-0050,Coruna,redes_sociales,Me han cobrado 78 euros este mes cuando mi tarifa es de 45. No entiendo este cargo extra y quiero una explicacion.
TCK-0051,Coruna,tienda,"Me habeis cobrado dos veces el mismo recibo este mes, necesito que devuelvan uno."
TCK-0052,Bilbao,web,"Solicito la cancelacion de mi linea de television, ya no la uso."
TCK-0053,Coruna,redes_sociales,Los datos del movil van muy lentos aunque tengo cobertura 5G en pantalla.
TCK-0054,Barcelona,app,"Quiero darme de baja de todos los servicios, me cambio a otra compania el mes que viene."
TCK-0055,Barcelona,web,"Hoy no me funciona absolutamente nada, ni internet ni telefono ni tele. Creo que es una averia general de la zona."
TCK-0056,Bilbao,tienda,"La velocidad por la noche es penosa, no puedo ver series sin que se pare cada dos por tres."
TCK-0057,Bilbao,web,Me gustaria conocer las tarifas de fibra y movil que teneis disponibles ahora mismo.
TCK-0058,Valencia,telefono,"Se me corta la conexion de fibra cada pocos minutos, sobre todo por la tarde. Ya he reiniciado el router varias veces y sigue igual."
TCK-0059,Madrid,tienda,"Llevo desde ayer sin internet en casa, la luz del router parpadea en rojo y no consigo conectarme a nada. Necesito que lo solucionen cuanto antes porque teletrabajo."
TCK-0060,Valencia,app,He perdido la contrasena del area de cliente y no puedo entrar.
TCK-0061,Barcelona,telefono,He contratado fibra nueva y quiero saber cuando vendra el tecnico a instalarla.
TCK-0062,Bilbao,tienda,"Me gustaria portar tanto el fijo como el movil a vuestra compania, que documentacion necesito."
TCK-0063,Valencia,web,"Me habeis cobrado dos veces el mismo recibo este mes, necesito que devuelvan uno."
TCK-0064,Coruna,tienda,"Llevo desde ayer sin internet en casa, la luz del router parpadea en rojo y no consigo conectarme a nada. Necesito que lo solucionen cuanto antes porque teletrabajo."
TCK-0065,Madrid,redes_sociales,Como puedo consultar mi consumo de datos del mes desde la aplicacion?
TCK-0066,Coruna,web,Querria saber si teneis cobertura de fibra en mi calle antes de contratar.
TCK-0067,Bilbao,redes_sociales,"El movil no tiene cobertura desde esta manana en toda la zona, no puedo ni llamar."
TCK-0068,Coruna,web,"Se me corta la conexion de fibra cada pocos minutos, sobre todo por la tarde. Ya he reiniciado el router varias veces y sigue igual."
TCK-0069,Sevilla,telefono,Me han cobrado 78 euros este mes cuando mi tarifa es de 45. No entiendo este cargo extra y quiero una explicacion.
TCK-0070,Barcelona,web,"La velocidad por la noche es penosa, no puedo ver series sin que se pare cada dos por tres."
TCK-0071,Sevilla,telefono,"Hoy no me funciona absolutamente nada, ni internet ni telefono ni tele. Creo que es una averia general de la zona."
TCK-0072,Coruna,tienda,Quiero traer mi numero de movil desde otra compania a vuestra tarifa. Como hago la portabilidad?
TCK-0073,Barcelona,telefono,"Solo queria agradecer al tecnico que vino ayer, fue rapidisimo y muy amable. Un diez."
TCK-0074,Bilbao,tienda,"La instalacion quedo a medias, el router esta puesto pero no han activado la linea."
TCK-0075,Coruna,web,Mi conexion va lentisima desde que cambiaron algo en la antena del barrio. Antes iba perfecta.
TCK-0076,Bilbao,telefono,Querria saber por que ha subido mi cuota mensual sin avisarme.
TCK-0077,Madrid,app,"Hola, escribo para actualizar mi direccion de correo de contacto en vuestra base de datos."
TCK-0078,Madrid,app,En la factura aparece un servicio de llamadas premium que yo nunca he contratado. Reclamo su devolucion.
TCK-0079,Madrid,app,"Hoy no me funciona absolutamente nada, ni internet ni telefono ni tele. Creo que es una averia general de la zona."
TCK-0080,Sevilla,redes_sociales,"Me gustaria portar tanto el fijo como el movil a vuestra compania, que documentacion necesito."
TCK-0081,Madrid,web,Puedo anadir una segunda linea movil a mi cuenta y que descuento tendria?
TCK-0082,Bilbao,app,"Se me corta la conexion de fibra cada pocos minutos, sobre todo por la tarde. Ya he reiniciado el router varias veces y sigue igual."
TCK-0083,Valencia,tienda,"Se me corta la conexion de fibra cada pocos minutos, sobre todo por la tarde. Ya he reiniciado el router varias veces y sigue igual."
TCK-0084,Madrid,tienda,Me han cobrado 78 euros este mes cuando mi tarifa es de 45. No entiendo este cargo extra y quiero una explicacion.
TCK-0085,Coruna,telefono,Querria saber si teneis cobertura de fibra en mi calle antes de contratar.
