ticket_id,timestamp,customer_id,category,status,priority,resolution_hours,description
T000001,2025-10-06T17:10:14,C00145,intermitencias,resuelto,alta,49.4,"Conexión inestable, especialmente por la noche."
T000002,2025-10-26T09:30:33,C00499,sin_servicio,cerrado,media,58.7,"Router sin luz verde, cliente sin servicio."
T000003,2025-10-25T02:17:42,C00467,facturacion,resuelto,media,15.8,Duplicidad en cobro de cuota mensual.
T000004,2025-10-05T07:41:44,C00465,facturacion,resuelto,media,22.9,Cargo no reconocido en la última factura.
T000005,2025-10-25T20:10:47,C00039,sin_servicio,cerrado,media,14.7,Sin conexión desde anoche.
T000006,2025-10-13T19:43:40,C00238,sin_servicio,cerrado,media,44.1,"Router sin luz verde, cliente sin servicio."
T000007,2025-10-15T02:32:07,C00185,velocidad_baja,en_proceso,baja,,Cliente reporta velocidad inferior a la contratada.
T000008,2025-10-01T11:16:08,C00437,instalacion,resuelto,baja,81.8,Solicita cita para nueva instalación.
T000009,2025-10-31T04:27:27,C00138,intermitencias,resuelto,baja,34.6,Wifi se cae varias veces al día.
T000010,2025-10-23T03:54:22,C00140,sin_servicio,resuelto,baja,11.4,"Router sin luz verde, cliente sin servicio."
T000011,2025-10-06T11:43:13,C00068,consulta_tarifa,resuelto,media,40.8,Cliente pregunta por tarifas de fibra 1000.
T000012,2025-10-24T10:21:25,C00411,velocidad_baja,escalado,alta,10.4,Velocidad muy baja en horario de tarde.
T000013,2025-10-30T16:17:03,C00015,portabilidad,en_proceso,baja,,"Portabilidad bloqueada, requiere intervención."
T000014,2025-10-03T05:33:41,C00033,intermitencias,resuelto,media,85.3,Wifi se cae varias veces al día.
T000015,2025-10-28T23:50:41,C00371,averia_router,resuelto,baja,83.4,Router pierde configuración tras corte de luz.
T000016,2025-10-31T00:18:02,C00049,facturacion,escalado,media,32.8,Duplicidad en cobro de cuota mensual.
T000017,2025-10-19T16:24:49,C00077,consulta_tarifa,resuelto,baja,33.5,Consulta sobre promociones vigentes.
T000018,2025-10-23T18:45:40,C00437,velocidad_baja,abierto,critica,,Velocidad muy baja en horario de tarde.
T000019,2025-10-17T01:31:13,C00497,portabilidad,cerrado,baja,47.5,Solicita portabilidad desde otro operador.
T000020,2025-10-19T09:08:41,C00207,averia_router,abierto,baja,,Router pierde configuración tras corte de luz.
T000021,2025-10-22T18:04:21,C00046,facturacion,abierto,media,,Duplicidad en cobro de cuota mensual.
T000022,2025-10-01T20:42:09,C00053,portabilidad,resuelto,baja,48.0,Confirmación de portabilidad recibida.
T000023,2025-10-30T07:56:52,C00494,consulta_tarifa,resuelto,media,0.5,Cliente pregunta por tarifas de fibra 1000.
T000024,2025-10-17T13:07:26,C00187,averia_router,cerrado,media,63.0,"Router emite olor a quemado, requiere sustitución."
T000025,2025-10-30T02:59:37,C00243,velocidad_baja,cerrado,alta,32.2,Velocidad muy baja en horario de tarde.
T000026,2025-10-01T02:33:34,C00175,instalacion,cerrado,baja,73.0,Solicita cita para nueva instalación.
T000027,2025-10-19T03:36:49,C00360,instalacion,cerrado,critica,28.4,Técnico no acudió a la cita programada.
T000028,2025-10-20T20:45:54,C00055,sin_servicio,abierto,baja,,Sin conexión desde anoche.
T000029,2025-10-11T11:10:47,C00235,averia_router,resuelto,baja,89.3,"Router emite olor a quemado, requiere sustitución."
T000030,2025-10-29T14:00:52,C00064,facturacion,cerrado,baja,40.1,Duplicidad en cobro de cuota mensual.
T000031,2025-10-01T05:03:13,C00272,portabilidad,resuelto,media,48.7,"Portabilidad bloqueada, requiere intervención."
T000032,2025-10-09T14:27:20,C00355,velocidad_baja,resuelto,media,56.4,Velocidad muy baja en horario de tarde.
T000033,2025-10-30T10:13:42,C00452,intermitencias,cerrado,baja,37.5,"Conexión inestable, especialmente por la noche."
T000034,2025-10-13T01:13:08,C00141,instalacion,resuelto,baja,94.0,Técnico no acudió a la cita programada.
T000035,2025-10-07T16:59:28,C00212,consulta_tarifa,escalado,critica,43.7,Cliente pregunta por tarifas de fibra 1000.
T000036,2025-10-27T20:58:09,C00324,averia_router,cerrado,media,30.5,Router pierde configuración tras corte de luz.
T000037,2025-10-07T10:34:25,C00364,facturacion,resuelto,media,28.3,Cliente reclama subida de cuota sin aviso.
T000038,2025-10-18T02:23:12,C00288,intermitencias,resuelto,media,31.3,Cortes intermitentes cada pocos minutos.
T000039,2025-10-26T22:02:30,C00147,portabilidad,resuelto,critica,68.3,Confirmación de portabilidad recibida.
T000040,2025-10-03T13:49:30,C00344,consulta_tarifa,cerrado,media,2.9,Cliente pregunta por tarifas de fibra 1000.
T000041,2025-10-14T21:55:52,C00350,velocidad_baja,en_proceso,alta,,Cliente reporta velocidad inferior a la contratada.
T000042,2025-10-10T21:40:41,C00386,averia_router,en_proceso,baja,,"Router emite olor a quemado, requiere sustitución."
T000043,2025-10-28T06:38:36,C00443,velocidad_baja,resuelto,media,59.3,Velocidad muy baja en horario de tarde.
T000044,2025-10-14T23:07:23,C00355,facturacion,cerrado,media,23.2,Duplicidad en cobro de cuota mensual.
T000045,2025-10-16T04:16:05,C00495,velocidad_baja,cerrado,baja,91.9,Velocidad muy baja en horario de tarde.
T000046,2025-10-22T12:12:24,C00425,velocidad_baja,abierto,baja,,Velocidad muy baja en horario de tarde.
T000047,2025-10-27T12:51:10,C00379,facturacion,cerrado,media,62.3,Duplicidad en cobro de cuota mensual.
T000048,2025-10-04T14:45:45,C00096,facturacion,cerrado,critica,28.6,Cargo no reconocido en la última factura.
T000049,2025-10-28T00:29:03,C00136,intermitencias,cerrado,baja,4.4,Wifi se cae varias veces al día.
T000050,2025-10-17T01:08:00,C00239,intermitencias,en_proceso,alta,,Cortes intermitentes cada pocos minutos.
T000051,2025-10-03T11:15:03,C00397,intermitencias,abierto,alta,,"Conexión inestable, especialmente por la noche."
T000052,2025-10-16T10:19:57,C00270,averia_router,resuelto,media,34.7,Router pierde configuración tras corte de luz.
T000053,2025-10-21T04:35:42,C00279,facturacion,escalado,media,75.6,Cargo no reconocido en la última factura.
T000054,2025-10-17T02:40:20,C00170,consulta_tarifa,en_proceso,baja,,Cliente pregunta por tarifas de fibra 1000.
T000055,2025-10-28T06:00:08,C00422,instalacion,resuelto,critica,59.5,Instalación pendiente desde hace 10 días.
T000056,2025-10-30T19:00:48,C00471,velocidad_baja,en_proceso,baja,,Cliente reporta velocidad inferior a la contratada.
T000057,2025-10-19T17:34:40,C00132,facturacion,escalado,media,31.1,Cargo no reconocido en la última factura.
T000058,2025-10-25T23:12:48,C00412,averia_router,abierto,media,,"Router emite olor a quemado, requiere sustitución."
T000059,2025-10-25T22:43:50,C00043,portabilidad,resuelto,baja,62.7,"Portabilidad bloqueada, requiere intervención."
T000060,2025-10-26T21:13:47,C00004,sin_servicio,en_proceso,critica,,"Sin servicio en toda la zona, varios avisos."
T000061,2025-10-21T14:14:23,C00428,sin_servicio,resuelto,media,20.9,"Sin servicio en toda la zona, varios avisos."
T000062,2025-10-22T03:05:19,C00332,sin_servicio,resuelto,alta,84.4,"Sin servicio en toda la zona, varios avisos."
T000063,2025-10-02T20:08:26,C00045,sin_servicio,cerrado,baja,44.4,"Router sin luz verde, cliente sin servicio."
T000064,2025-10-04T10:04:15,C00295,sin_servicio,abierto,alta,,"Sin servicio en toda la zona, varios avisos."
T000065,2025-10-22T00:30:38,C00162,facturacion,cerrado,media,43.6,Cliente reclama subida de cuota sin aviso.
T000066,2025-10-31T00:25:45,C00033,velocidad_baja,resuelto,baja,1.1,Velocidad muy baja en horario de tarde.
T000067,2025-10-15T01:41:02,C00403,velocidad_baja,cerrado,baja,89.1,Cliente reporta velocidad inferior a la contratada.
T000068,2025-10-20T04:20:25,C00421,averia_router,resuelto,baja,89.0,"Router emite olor a quemado, requiere sustitución."
T000069,2025-10-27T11:48:54,C00152,velocidad_baja,resuelto,media,13.5,Tests de velocidad muestran 50 Mbps de los 600 contratados.
T000070,2025-10-19T02:43:42,C00491,intermitencias,resuelto,alta,92.7,"Conexión inestable, especialmente por la noche."
T000071,2025-10-28T19:15:55,C00306,velocidad_baja,resuelto,media,12.3,Cliente reporta velocidad inferior a la contratada.
T000072,2025-10-17T16:36:58,C00109,consulta_tarifa,resuelto,critica,29.6,Consulta sobre promociones vigentes.
T000073,2025-10-11T17:14:11,C00316,consulta_tarifa,cerrado,alta,14.1,Cliente pregunta por tarifas de fibra 1000.
T000074,2025-10-03T15:22:01,C00436,averia_router,en_proceso,baja,,Router pierde configuración tras corte de luz.
T000075,2025-10-05T18:24:50,C00102,portabilidad,resuelto,baja,64.6,"Portabilidad bloqueada, requiere intervención."
T000076,2025-10-05T20:33:39,C00146,portabilidad,escalado,baja,64.6,Solicita portabilidad desde otro operador.
T000077,2025-10-15T20:08:15,C00356,sin_servicio,cerrado,baja,43.5,"Sin servicio en toda la zona, varios avisos."
T000078,2025-10-09T04:28:45,C00003,intermitencias,resuelto,baja,30.7,Wifi se cae varias veces al día.
T000079,2025-10-14T10:21:19,C00431,instalacion,resuelto,baja,71.2,Instalación pendiente desde hace 10 días.
T000080,2025-10-23T11:15:26,C00229,instalacion,en_proceso,media,,Instalación pendiente desde hace 10 días.
T000081,2025-10-30T10:46:20,C00042,instalacion,cerrado,media,10.9,Técnico no acudió a la cita programada.
T000082,2025-10-31T10:03:50,C00040,averia_router,cerrado,baja,51.9,"Router emite olor a quemado, requiere sustitución."
T000083,2025-10-29T02:28:05,C00208,sin_servicio,cerrado,alta,60.8,"Sin servicio en toda la zona, varios avisos."
T000084,2025-10-23T22:02:27,C00335,facturacion,cerrado,media,52.4,Duplicidad en cobro de cuota mensual.
T000085,2025-10-15T03:02:18,C00069,intermitencias,resuelto,baja,74.2,"Conexión inestable, especialmente por la noche."
T000086,2025-10-12T14:18:58,C00435,portabilidad,resuelto,baja,35.2,Solicita portabilidad desde otro operador.
T000087,2025-10-28T11:13:09,C00338,intermitencias,cerrado,baja,15.7,"Conexión inestable, especialmente por la noche."
T000088,2025-10-24T16:08:39,C00119,intermitencias,cerrado,media,34.8,Cortes intermitentes cada pocos minutos.
T000089,2025-10-18T12:53:18,C00199,sin_servicio,resuelto,baja,64.3,"Sin servicio en toda la zona, varios avisos."
T000090,2025-10-16T17:34:12,C00053,portabilidad,cerrado,alta,4.3,Confirmación de portabilidad recibida.
T000091,2025-10-19T06:50:24,C00335,averia_router,cerrado,baja,52.5,Router no enciende.
T000092,2025-10-13T05:07:09,C00193,consulta_tarifa,resuelto,media,80.3,Consulta sobre promociones vigentes.
T000093,2025-10-24T09:41:56,C00455,facturacion,resuelto,baja,83.4,Cliente reclama subida de cuota sin aviso.
T000094,2025-10-25T23:29:02,C00330,velocidad_baja,resuelto,baja,16.3,Cliente reporta velocidad inferior a la contratada.
T000095,2025-10-06T17:51:52,C00339,averia_router,resuelto,baja,35.1,Router pierde configuración tras corte de luz.
T000096,2025-10-24T05:51:34,C00246,facturacion,resuelto,baja,11.3,Duplicidad en cobro de cuota mensual.
T000097,2025-10-03T02:16:00,C00066,facturacion,resuelto,media,39.7,Cargo no reconocido en la última factura.
