"complaint_id","event_timestamp","customer_id","region","channel","sentiment_label","text"
"R00075","2025-10-07T14:56:50","C00495","Bilbao","oficina_consumidor","negativo","Me han cobrado de más sin explicación."
"R00088","2025-10-12T15:14:58","C00371","Zaragoza","telefono","NEG","Llevo tres semanas con cortes diarios y nadie lo soluciona."
"R00062","2025-10-25T20:23:43","C00264"," Sevilla ","email","Negativo","Me han cobrado de más sin explicación."
"R00037","2025-10-29T12:01:27","C00287","Bilbao","redes_sociales","negativo","El router que me enviaron no funciona."
"R00022","2025-10-06T12:32:11","C00474","Zaragoza","redes_sociales","negativo","Mi velocidad real es la cuarta parte de la contratada."
"R00068","2025-10-03T05:07:57","C00040","Barcelona","email","NEG","Llevo tres semanas con cortes diarios y nadie lo soluciona."
"R00045","2025-10-17T19:14:30","C00006","Barcelona","telefono","NEGATIVO","Mi velocidad real es la cuarta parte de la contratada."
"R00109","2025-10-07T11:41:44","C00450","Madrid","email","NEGATIVO"," Llevo tres semanas con cortes diarios y nadie lo soluciona. "
"R00010","2025-10-27T17:49:32","C00053","Valencia ","email","NEGATIVO","Me han cobrado de más sin explicación."
"R00084","2025-10-26T22:38:58","C00325","Bilbao","redes_sociales","NEG"," Me tienen 40 minutos en espera y luego me cuelgan. "
"R00089","2025-10-22T17:25:30","C00401","barcelona","redes_sociales","NEG","Solicité portabilidad hace un mes y sigo sin servicio."
"R00108","2025-10-31T22:01:23","C00054","Madrid","telefono","Negativo","Me han cobrado de más sin explicación."
"R00009","2025-10-04T22:29:18","C00419","Barcelona","telefono","NEG","Mi velocidad real es la cuarta parte de la contratada."
"R00081","2025-10-17T11:41:12","C00335","Valencia","telefono","NEGATIVO","Solicité portabilidad hace un mes y sigo sin servicio."
"R00099","2025-10-18T15:28:00","C00479","Valencia","redes_sociales","Negativo","Mi velocidad real es la cuarta parte de la contratada."
"R00014","2025-10-10T23:47:55","C00427","Bilbao","redes_sociales","Negativo"," El técnico dijo que estaba arreglado y volvió a caerse. "
"R00077","2025-10-19T03:59:36","C00087","BILBAO","telefono","negativo",""
"R00078","2025-10-15T06:10:39","C00386","Barcelona","oficina_consumidor","NEGATIVO","Llevo tres semanas con cortes diarios y nadie lo soluciona."
"R00010","2025-10-27T17:49:32","C00053","Valencia ","email","NEGATIVO","Me han cobrado de más sin explicación."
"R00107","2025-10-31T20:03:24","C00474","Valencia","redes_sociales","NEGATIVO","Me tienen 40 minutos en espera y luego me cuelgan."
"R00067","2025-10-31T22:19:06","C00324","Bilbao","telefono","neg","El router que me enviaron no funciona."
"R00047","2025-10-23T02:34:27","C00021","Valencia","oficina_consumidor","neg","Me tienen 40 minutos en espera y luego me cuelgan."
"R00030","2025-10-21T21:33:05","C00464"," Zaragoza ","email","neg","El técnico dijo que estaba arreglado y volvió a caerse."
"R00041","2025-10-18T21:45:10","C00410","Madrid","oficina_consumidor","Negativo","Mi velocidad real es la cuarta parte de la contratada."
"R00007","2025-10-29T08:23:36","C00135","Madrid","telefono","NEG","El router que me enviaron no funciona."
"R00120","2025-10-27T00:50:21","C00407","Madrid","oficina_consumidor","NEGATIVO","Solicité portabilidad hace un mes y sigo sin servicio."
"R00119","2025-10-24T06:24:01","C00091","Valencia","email","Negativo","El técnico dijo que estaba arreglado y volvió a caerse."
"R00103","2025-10-30T22:02:25","C00115","Sevilla","oficina_consumidor","NEG","Me han cobrado de más sin explicación."
"R00086","2025-10-28T20:41:14","C00278","Sevilla","redes_sociales","negativo","Me suben la cuota sin avisar tras seis años de cliente."
