"complaint_id","timestamp","customer_id","region","channel","sentiment_label","text"
"R00001","2025-10-24T23:59:19","C00286","Sevilla","oficina_consumidor","negativo","Cuando llamo al call center me tienen 40 minutos en espera y luego me cuelgan. Lamentable."
"R00002","2025-10-18T21:45:56","C00102","Madrid","telefono","negativo","Llevo todo el mes con la línea inestable. Los videojuegos online son imposibles."
"R00003","2025-10-10T03:07:46","C00002","Bilbao","redes_sociales","negativo","Me prometieron mejora a fibra 1000 hace dos meses, sigo en 300 y pagando como si tuviera 1000."
"R00004","2025-10-19T02:02:15","C00333","Valencia","oficina_consumidor","neutral","Llevo tres semanas con cortes diarios. He llamado cinco veces y nadie soluciona nada. Esto es inaceptable."
"R00005","2025-10-16T07:11:59","C00442","Sevilla","telefono","neutral","Llevo tres semanas con cortes diarios. He llamado cinco veces y nadie soluciona nada. Esto es inaceptable."
"R00006","2025-10-05T15:49:18","C00305","Bilbao","telefono","negativo","Después de seis años de cliente me suben la cuota sin avisar. La atención al cliente es nefasta."
"R00007","2025-10-07T14:11:01","C00243","Sevilla","redes_sociales","positivo","Servicio bueno en general, solo me quejo del precio respecto a la competencia."
"R00008","2025-10-31T08:06:55","C00416","Madrid","redes_sociales","negativo","Mi velocidad real es la cuarta parte de la contratada. Si no se soluciona voy a darme de baja."
"R00009","2025-10-16T03:34:26","C00275","Sevilla","redes_sociales","negativo","Cuando llamo al call center me tienen 40 minutos en espera y luego me cuelgan. Lamentable."
"R00010","2025-10-06T04:10:04","C00029","Valencia","email","negativo","Me han cobrado un mes de más sin explicación y no consigo hablar con nadie del departamento de facturación."
"R00011","2025-10-19T10:14:38","C00079","Valencia","redes_sociales","neutral","Servicio aceptable hasta el último corte general que duró 18 horas sin información ninguna."
"R00012","2025-10-04T14:40:44","C00500","Bilbao","redes_sociales","negativo","Soy autónomo y dependo de la conexión. Tres días sin internet me suponen pérdidas importantes."
"R00013","2025-10-25T04:32:47","C00158","Zaragoza","redes_sociales","negativo","El técnico vino, dijo que estaba arreglado, y a las dos horas volvió a caerse. No vuelve a aparecer."
"R00014","2025-10-02T02:29:05","C00014","Valencia","redes_sociales","negativo","Soy autónomo y dependo de la conexión. Tres días sin internet me suponen pérdidas importantes."
"R00015","2025-10-05T12:26:30","C00446","Barcelona","telefono","negativo","Solicité portabilidad hace un mes y sigo sin servicio. He perdido oportunidades de trabajo por no tener internet."
"R00016","2025-10-06T12:05:25","C00049","Valencia","redes_sociales","negativo","Han activado servicios premium sin mi consentimiento. Quiero reembolso inmediato y baja total."
"R00017","2025-10-07T00:09:08","C00094","Bilbao","email","negativo","Llevo todo el mes con la línea inestable. Los videojuegos online son imposibles."
"R00018","2025-10-04T19:51:14","C00119","Madrid","redes_sociales","positivo","Servicio bueno en general, solo me quejo del precio respecto a la competencia."
